zip,district
89010,08
89019,08
89060,08
89061,08
89439,01
90001,40
90001,43
90001,44
90002,43
90002,44
90003,37
90003,40
90003,43
90004,28
90004,33
90004,34
90005,33
90005,34
90005,37
90006,34
90007,34
90007,37
90007,40
90008,37
90010,33
90010,34
90010,37
90011,37
90011,40
90012,34
90013,34
90014,34
90015,34
90015,37
90015,40
90016,37
90017,34
90018,34
90018,37
90019,34
90019,37
90020,33
90020,34
90021,34
90021,40
90022,27
90022,34
90022,38
90022,40
90023,34
90023,40
90024,33
90024,37
90025,33
90025,37
90026,28
90026,34
90027,28
90028,28
90029,28
90031,28
90031,34
90032,34
90033,34
90034,37
90035,33
90035,37
90036,28
90036,33
90036,37
90037,37
90037,40
90038,28
90038,34
90039,28
90040,40
90041,34
90042,27
90042,28
90042,34
90043,37
90044,37
90044,43
90044,44
90045,37
90045,43
90046,28
90046,30
90046,33
90047,37
90047,43
90048,28
90048,33
90048,37
90049,30
90049,33
90056,37
90057,34
90058,34
90058,40
90059,43
90059,44
90061,43
90061,44
90062,37
90063,34
90063,40
90064,33
90064,37
90065,28
90065,34
90066,33
90066,37
90066,43
90067,37
90068,28
90068,30
90069,28
90071,34
90073,33
90077,30
90077,33
90079,34
90089,34
90089,37
90090,34
90094,43
90095,33
90201,40
90210,28
90210,30
90210,33
90211,33
90212,33
90212,37
90220,44
90221,40
90221,44
90222,44
90230,37
90230,43
90232,37
90240,40
90241,38
90241,40
90242,40
90245,33
90247,43
90248,43
90248,44
90249,43
90250,43
90254,33
90255,40
90255,44
90260,43
90262,40
90262,44
90263,33
90265,26
90265,33
90266,33
90270,40
90272,33
90274,33
90275,33
90277,33
90278,33
90280,44
90290,33
90291,33
90291,37
90292,33
90292,37
90293,33
90293,43
90301,43
90302,37
90302,43
90303,43
90304,43
90305,43
90401,33
90402,33
90403,33
90404,33
90405,33
90405,37
90501,43
90502,43
90503,33
90503,43
90504,33
90504,43
90505,33
90505,43
90506,43
90601,32
90601,38
90602,38
90603,38
90604,38
90605,38
90606,38
90620,39
90620,46
90620,47
90621,39
90621,46
90623,38
90623,47
90630,38
90630,47
90631,38
90631,39
90638,38
90638,39
90640,27
90640,38
90640,40
90650,38
90650,40
90660,32
90660,38
90670,38
90670,40
90680,47
90701,38
90703,38
90704,47
90706,38
90706,40
90710,33
90710,43
90712,38
90712,47
90713,38
90713,47
90715,38
90716,38
90717,33
90717,43
90720,47
90720,48
90723,40
90731,33
90731,44
90731,47
90732,33
90732,43
90732,44
90740,47
90740,48
90742,48
90743,48
90744,33
90744,44
90745,44
90746,44
90747,44
90755,47
90802,44
90802,47
90803,47
90804,47
90805,38
90805,44
90805,47
90806,47
90807,47
90808,47
90810,44
90810,47
90813,44
90813,47
90814,47
90815,47
90822,47
90831,47
91001,27
91006,27
91006,32
91007,27
91008,27
91008,32
91010,32
91011,27
91011,28
91016,27
91016,32
91020,28
91024,27
91030,27
91030,34
91040,28
91040,29
91042,25
91042,27
91042,28
91046,28
91101,27
91103,27
91103,28
91104,27
91105,27
91105,28
91105,34
91106,27
91107,27
91108,27
91201,28
91202,28
91203,28
91204,28
91205,28
91206,28
91207,28
91208,28
91210,28
91214,28
91301,33
91302,30
91302,33
91303,30
91304,25
91304,30
91306,30
91307,30
91311,25
91311,30
91316,30
91320,26
91321,25
91321,29
91324,30
91325,30
91326,25
91326,30
91330,30
91331,28
91331,29
91335,30
91340,29
91342,28
91342,29
91342,30
91343,29
91343,30
91344,25
91344,29
91344,30
91345,29
91350,25
91351,25
91352,28
91352,29
91354,25
91355,25
91356,30
91360,26
91361,26
91361,33
91362,25
91362,26
91364,30
91364,33
91367,30
91371,30
91377,26
91381,25
91384,25
91387,25
91387,28
91387,29
91390,25
91390,28
91401,29
91401,30
91402,29
91403,30
91405,29
91406,29
91406,30
91411,29
91411,30
91423,30
91436,30
91501,28
91502,28
91504,28
91504,29
91505,28
91505,29
91505,30
91506,28
91506,30
91601,29
91601,30
91602,29
91602,30
91604,30
91605,28
91605,29
91606,29
91607,29
91607,30
91608,28
91608,30
91701,27
91701,31
91702,27
91702,32
91706,32
91708,35
91709,35
91709,39
91710,35
91710,39
91711,27
91711,35
91722,32
91723,32
91724,32
91724,39
91730,31
91731,27
91731,32
91731,38
91732,27
91732,32
91733,27
91733,32
91733,38
91737,08
91737,31
91739,08
91739,31
91739,35
91740,27
91740,32
91741,27
91744,32
91745,32
91745,38
91745,39
91746,32
91746,39
91748,32
91748,39
91750,27
91750,32
91750,35
91752,41
91752,42
91754,27
91754,40
91755,27
91759,08
91759,27
91761,35
91762,35
91763,35
91764,35
91765,35
91765,39
91766,35
91767,27
91767,32
91767,35
91768,32
91768,35
91768,39
91770,27
91770,32
91770,38
91773,27
91773,32
91773,35
91775,27
91776,27
91780,27
91780,32
91784,08
91784,27
91786,27
91786,31
91789,32
91789,35
91789,39
91790,32
91791,32
91792,32
91801,27
91803,27
91901,50
91901,51
91902,51
91902,53
91905,50
